Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,G,Gd,S,P↑,P↓,Y,ϴ1,ϴ2,ϴ3,ϴ4,W,Yd,Pd,Wd,λ,E_High,E_Low,Ö,Öd,Ödd,I,Im,Id
2016-03-16 ,33.45826914344212,33.608306481460275,33.15819446740583,33.49161148071289,5393000,0.0,0.0,0.27507936893379253,1.0,0.20625886597870416,0.7937411340212959,0.20625886597870416,0.003496442950362123,1.390908430548101,0.7853981642607342,0.8086616167252367,0.4461162312182123,-0.1678939802661422,0.9999999087507463,0.5874822680425917,-0.9999999947219076,5518.3100322765085,18.721050989799757,67.0982301555752,-0.056608135835923765,0.018685809100187974,0.02400211542102236,1.0,0.0,0.0
2016-03-17 ,33.50828287467591,33.68332537697407,32.94980985058615,33.58330154418945,6089900,0.0,0.0,0.04834468562007089,1.0,0.05043436315619714,0.9495656368438029,0.05043436315619714,0.0013669799831499073,0.8960679345867356,0.8960553202631053,0.42285604024945045,0.7853981642304461,0.18272906251896995,-0.4378526314637893,0.8991312736876058,0.9999999971479341,5413.525199509204,18.601570258798414,66.6702423467502,-0.047473390074110916,0.004567372880906424,-0.007059218109640775,2.0,0.0,0.0
2016-03-18 ,33.64164651270942,34.1250976511954,33.458266849990565,34.00006866455078,10143900,0.0,0.0,0.03834468562007089,1.0,0.03262578374436773,0.9673742162556322,0.03262578374436773,0.0061667111165673956,-0.8554608097020082,0.8554608085623411,-0.7853981648808156,0.7853981638808156,0.048505501805608045,0.6371021100792792,0.9347484325112645,-0.5804649513577511,6965.9071196275245,20.235476797338986,72.5231273652599,-0.11930888093274718,-0.03591774542931813,-0.020242559155112277,3.0,0.33353460212555996,0.0
2016-03-21 ,33.82503296054233,33.98340431394062,33.708334764684906,33.975067138671875,4054800,0.0,0.0,0.028344685620070892,1.0,0.024117229503596935,0.975882770496403,0.02411330026237304,-0.00036780398572916045,0.8139991823935618,0.7853981645636766,-0.5404157375981209,0.5404157365393105,0.007576146143573534,-0.99999984696648,0.95176947023403,-0.729817265164986,7193.829067841558,20.454164988608404,73.30651818748979,-0.1307910930500896,-0.0057411060586712095,0.01508831968532346,2.0,0.20054049680570452,0.0
2016-03-22 ,33.75833664318532,34.30847237240479,33.62497050215331,34.200111389160156,6652300,0.0,0.0,0.01834468562007089,1.0,0.013502017848785235,0.9864979821512148,0.013502017848785235,0.003300970460919417,-0.46364761063131765,0.4636476098313177,1.0968793333695277,1.0969399154110047,-0.015553639396388408,0.9999997274294885,0.9729959643024295,-0.9999999567657056,7166.82917362557,20.42850254877761,73.21458928630891,-0.12293400782325231,0.003928542613418642,0.004834824336044926,3.0,-0.19996741544555297,-0.06649705265992772
2016-03-23 ,34.04173177529437,34.458501261681576,33.916699657498675,33.99171829223633,4087600,0.0,0.0,0.008344685620070888,1.0,0.008342729986627075,0.9916572700133729,0.008331387223257858,-0.003055983361899441,-1.0957943769261491,1.0957943753444692,-0.7853981656113669,0.7853981646113669,0.009351112213105837,-0.9999998426919763,0.983325882790115,0.9999999598470214,8469.262270891959,21.599608990717172,77.40982114307721,-0.18477752116637108,-0.030921756671559386,-0.017425149642489014,2.0,0.20029069085889814,-0.20025395612562874
2016-03-24 ,33.875034569612666,34.09175655497823,33.641644597403484,33.96672439575195,4261000,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.0003677820664479808,0.32175055491464993,1.2835252794820173,0.4182290120943898,1.5027040659981543,-0.0014140267472864559,0.7851590789588403,1.0,-0.999999907107571,8080.2792306573465,21.263248361033234,76.20487235520545,-0.16982142671359088,0.007478047226390103,0.019199901948974744,1.0,-0.19972808025672303,0.20012905315222557
2016-03-28 ,33.983398666461994,34.17511232967419,33.85003250163176,34.07508850097656,3328000,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.001592610493625157,0.785398164661808,1.0390403354146225,1.339747765355127,0.5971461121849955,-0.0,0.9999994898983448,1.0,0.9999992928002991,8048.066760090961,21.234913318225946,76.10336776283997,-0.16530302521059945,0.0022592007514957158,-0.0026094232374471935,2.0,-0.33327902893654615,-0.2000093855578106
2016-03-29 ,33.96672989846853,34.616889600493366,33.93338755997997,34.56687927246094,4127000,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.007164578572508291,-0.7853981650292403,0.7853981640292403,-1.384307554815723,1.3843075528844766,0.0,0.6362735120288784,1.0,0.0,8138.602474729909,21.314360063069813,76.38796989940987,-0.15470714717317804,0.005297939018710701,0.0015193691336074927,3.0,0.33356773661006733,-0.06677547433991156
2016-03-30 ,34.675227999202534,34.9586314425484,34.583541361981446,34.7169075012207,3433000,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0021654161203665014,-1.086853772528237,1.0868537709611943,-0.785398164666497,0.7853981636664971,0.0,-0.5358161586247667,1.0,0.0,7627.847776447858,20.85814256809277,74.75366807786108,-0.12874452643701106,0.01298131036808349,0.0038416856746863945,4.0,0.20062692136647955,0.33342338277330674
