Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,G,Gd,S,P↑,P↓,Y,ϴ1,ϴ2,ϴ3,ϴ4,W,Wd,Yd,Pd,λ,E_Low,E_High,Ö,Öd,Ödd,I,Im,Id,W_0,W_1,W_2,W_3,W_4,W_5,W_6,W_7,W_8,W_9,W_10,W_11,W_12,W_13,Ds
2016-05-24 ,1.4480791091918943,1.4637216329574585,1.4480162858963013,1.4481840133666992,0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,-0.00030419000020935486,0.2449786992982858,1.2082893949458318,0.2459940303705273,0.8814140133264804,-0.5781478666930894,-0.3027594236067994,0.8516356635495508,-1.0,10.51215698852258,1.4294504657179696,2.1796370980165496,-0.19791387048107387,-0.00044962565599997173,0.006776875665946577,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-25 ,1.4616036415100098,1.4730794429779053,1.4606642723083496,1.4612619876861572,0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.004495004999139153,1.3109711912706246,0.321750587880806,1.1011419601188128,0.711885205617498,-0.054658575603124065,0.26174464554498267,0.9999997916317649,-1.0,11.310531272714394,1.416756837967031,2.2404517665446178,-0.19822349730799468,-0.00015481341346040844,0.00014740612126978164,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-26 ,1.4697452783584597,1.4738610982894895,1.4671576023101809,1.4698317050933838,0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0029237268765366364,1.2784033534138337,0.08427472753873737,-0.06241881498048457,0.06241881485597094,0.7181517089572739,0.38640514228019895,-0.21179871939510764,-1.0,10.422207488199792,1.425361605075776,2.1725837580032303,-0.18002342741098473,0.009100034948504976,0.004627424180982692,3.0,0.3339917731078442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-27 ,1.4666413068771362,1.4688386917114258,1.4613901376724243,1.466490626335144,0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,-0.0011378446849921627,1.1347472789128807,0.45453138309010727,-0.05875583180217498,0.05875583168493356,0.4702005190464842,-0.12397559495539484,-0.9999997537899459,-1.0,10.500708436837606,1.4289313442649174,2.178741734245812,-0.18496497106231752,-0.002470771825666393,-0.005785403387085684,2.0,0.2002576293926092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-30 ,1.462458610534668,1.4638930559158323,1.4590657949447632,1.4626511335372925,0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,-0.0013107910482348152,0.36557602656553084,0.8450823881054621,0.32175060611256484,1.3842094751686518,-0.18008183226504398,-0.32514117565576406,-0.07062965318450166,-1.0,10.470068486178741,1.4275401520367328,2.1763420682448262,-0.18654851944093426,-0.0007917741893083696,0.0008394988181790117,1.0,-0.1998990696065939,-0.06686707185761752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-31 ,1.4634859561920166,1.4725805521011353,1.4529815912246704,1.4635074138641355,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.00029262950485149154,0.5093826673361711,1.555283492507727,0.871299646566124,0.7853982081483255,-0.20555426009087005,-0.012736213912913033,0.9999993763336922,1.0,10.419988392975227,1.425260434191141,2.172409207555533,-0.1842597787444607,0.0011443703482367784,0.000968072268772574,2.0,-0.33313949337046156,-0.20007834949960154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01 ,1.4484986066818235,1.4509154558181765,1.4393459558486938,1.4482468366622925,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.0052410251308413185,1.3298985864080048,0.1973955817937199,0.27817133008084743,1.0515616010427635,0.044905084026678914,0.12522967205877447,-0.9999998192876344,1.0,10.435209370097644,1.425954086161502,2.173605939022635,-0.1952605709067535,-0.0055003960811464,-0.003322383214691589,1.0,0.33337649450692075,-0.06662021188193383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-02 ,1.4421066045761108,1.4472198486328125,1.4414414167404177,1.4419403076171875,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.002182048680684029,0.0831412356255881,1.1625882314542448,0.13163919334190297,1.31196192675181,-0.6403230279574923,-0.3426140559920856,0.41209020895327725,1.0,9.961336273932671,1.4504269261092202,2.135755270149637,-0.19934950030850482,-0.002044464700875659,0.0017279656901353704,0.0,-0.3325533480452983,0.33325799393869115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-03 ,1.4407975673675537,1.4583210945129397,1.4401544332504272,1.440548539161682,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.0004828356775988465,0.23573944119514798,1.1137900592144814,0.15264934126809093,0.4007119809780634,-0.3030361537866531,0.1686434370854196,0.6376308075706769,1.0,10.1110320101854,1.4576564262495582,2.147846960109613,-0.20562397148076855,-0.0031372355861318674,-0.0005463854426281042,-1.0,-0.9990305847882308,-0.33296492127610955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-06 ,1.439221739768982,1.4474084377288818,1.43589448928833,1.4383935928344729,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.0007485201954076327,0.7853981979618944,0.4045474536818139,1.3063723793759434,1.4859540501186521,-0.058001149616134555,0.12251750208525927,-0.21576565139892492,1.0,10.180026221562047,1.4609644648183184,2.1533774777612926,-0.2095402393400514,-0.00195813392964142,0.0005895508282452236,-2.0,-0.9997860818992781,-0.3332386183714663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-07 ,1.4460898637771606,1.4608776569366455,1.4455254077911377,1.4459224939346311,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.002610289882823426,0.06656816979153483,1.4419022714337708,0.16914753171790164,1.3643987061909981,-0.13446516270156267,-0.03823200654271405,0.9999997022756039,1.0,10.211465337284672,1.4624669076707932,2.1558888439713977,-0.20541636189798526,0.002061938721033066,0.002010036325337243,-1.0,-0.33322274314356254,-0.0003777485555236382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-08 ,1.454355001449585,1.460152506828308,1.450894474983215,1.454355001449585,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.00290748300063499,0.8554532428964531,0.19739557393514093,1.0652148187207031,0.2727378229561813,0.32250046633489177,0.22848281451822722,0.053861054129548745,1.0,10.449385660987689,1.4265995231806354,2.1747194272286126,-0.19153415257051157,0.006941104663736847,0.0024395829713518905,0.0,0.333716880929184,0.33328166937785775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-09 ,1.451505184173584,1.452833652496338,1.4450658559799194,1.4518423080444336,0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,-0.0008645983522670173,1.2417981413859533,0.32175057763700393,1.4084658245178885,0.3767089287763859,0.44054542139645625,0.05902247753078224,-0.9999997348944413,-1.0,10.233510249734069,1.4635185729086222,2.157646547516268,-0.2020974848573892,-0.005281666143438821,-0.006111385403587834,-1.0,1.0012810235056007,0.33346981203637327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-10 ,1.4463825225830078,1.4474921226501465,1.4318441152572632,1.4463825225830078,0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,-0.001883837790542904,0.3956755866517008,1.0366219358398945,0.48305655625522953,0.7853982174149471,-0.11894057509173142,-0.2797429982440938,-0.37084327758496466,-1.0,10.161725517871014,1.4600884682614963,2.1519130919131926,-0.20336151544313402,-0.0006320152928724065,0.002324825425283207,-2.0,-0.9996167065236761,0.33378207128820836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-13 ,1.419063687324524,1.43051278591156,1.411970615386963,1.4188824892044067,0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,-0.00959772770248779,0.06864952164652961,1.5138937371736156,0.027770638664961687,1.4781150575078807,-0.3962211701497435,-0.13864029752900603,-0.6718499532818291,-1.0,9.96141943924075,1.4504309625882932,2.1357620233262917,-0.21547253287198972,-0.006055508714427851,-0.0027117467107777224,-3.0,-0.33305449189160624,-1.0004488650146384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-14 ,1.4206159114837646,1.4219491481781006,1.4095624685287476,1.4206764698028564,0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0006317814225195379,0.027860696949563137,1.4409417050853004,0.02380502735864901,1.4443031582822832,-0.9285068329056096,-0.26614283137793304,0.9999999022436082,-1.0,11.289381659455364,1.4638461347117784,2.2388803366164547,-0.24238845561349653,-0.013457961370753405,-0.0037012263281627766,-2.0,-0.19913697939833724,0.3332811073160349,-0.024221786142832293,-0.011817545609441595,-0.007782949718799376,-0.005790083053187238,-0.004604017211857082,-0.003818094756496982,-0.0032594410663309933,-0.00284214224748289,-0.002518699579795231,-0.002260728881557724,-0.0020502299930982935,-0.0018752391409703984,-0.0017274960038619637,-0.001601114643674099,0.0002294734548635642
2016-06-15 ,1.412090301513672,1.421565055847168,1.4109346866607666,1.4123696088790894,0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,-0.002932130538318599,0.02325162550139838,1.271365479256482,0.08251249879285413,1.55687682333511,0.09743418212018427,0.512970507512897,-0.9999997194095336,-1.0,11.705331147534727,1.433053052536931,2.2694137763134155,-0.24439549251545112,-0.001003518450977292,0.006227221459888056,-3.0,0.20005587966354285,0.0669587562466345,-0.010000010510777821,-0.004950005150281077,-0.0032835033990103128,-0.002454418782132165,-0.0019586261829818976,-0.0016289241054154976,-0.0013938936249025102,-0.001217914552927205,-0.001081237473898571,-0.0009720324878983507,-0.0008827822312625186,-0.0008084813926913626,-0.0007456686069132054,-0.0006918739425689272,0.00013072272027154103
2016-06-16 ,1.4195269346237185,1.4200913906097412,1.4015023708343506,1.41958749294281,0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0025487264828542707,0.132916119793353,0.7853983841743182,0.09882446659852327,0.037407235523255436,-0.34323158451733254,-0.22033288331875842,0.9999998175468154,-1.0,11.117703601975089,1.4563878689031318,2.226047310007024,-0.23772707540482999,0.0033342085553105666,0.0021688635031439293,-2.0,-0.19973915289972943,0.19959642953094003,-0.05201513603927792,-0.024654780831046667,-0.01600904662771595,-0.011798606786237016,-0.009316144201577599,-0.007682690083313568,-0.0065280749042928915,-0.005669620703228607,-0.005006895503739924,-0.004480162518289784,-0.004051689901820993,-0.003696486643216561,-0.003397351266383419,-0.0031420609124778788,0.0001410209161193894
2016-06-17 ,1.4295517206192017,1.431926131248474,1.4225763082504272,1.4295722246170044,0,0.0,0.0,0.0003610754013059301,1.0,0.011868204205891384,0.9881317957941086,0.011868204205891384,0.0035044478597169833,0.12484887542638307,1.476640669456187,0.019605332915599624,1.4918695861688926,0.43265481443351794,0.3879431994754252,0.15788760820147388,0.9762635915882172,10.577952430779867,1.4324266007214335,2.1847695249217742,-0.2130648801571477,0.012331097623841145,0.004498444534265289,-1.0,0.20022472370198283,-0.19989751628163616,-0.11403527398193627,-0.0505156151349005,-0.031756889419175524,-0.022912315667949212,-0.01780729009540833,-0.01450096521202266,-0.012193167104454347,-0.010495214822464556,-0.009196099320215268,-0.008171621417639156,-0.007344032826286765,-0.0066622401911397055,-0.006091319377549721,-0.005606609045286858,-0.0004820070526591089
2016-06-20 ,1.4587039947509766,1.4707180261611938,1.4534672498703003,1.4585976600646973,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.010049767363629891,0.9346072664598761,0.34213148263959664,1.1564773465193001,0.1973955687829533,0.37794280327944857,-0.027356005577034687,0.4828991507925573,1.0,10.182264785282086,1.4610715456691141,2.153556475670921,-0.19566990873765627,0.008697485709745711,-0.0018168059570477166,0.0,0.33384751066911855,0.19998193830085614,-0.19075963605741447,-0.07718519865432863,-0.04654885896811276,-0.03269173337717329,-0.02490613406951551,-0.019963264212813265,-0.016567342894446474,-0.014101377495017789,-0.012235671813476056,-0.010778697401922784,-0.009611893965969459,-0.008658106019241104,-0.007865050390593563,-0.007196094351973818,-0.003977228907203492
2016-06-21 ,1.467437505722046,1.4780874252319336,1.4646005630493164,1.467502236366272,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0030431552635765517,1.5193988386276087,0.06656816542041988,1.427463474404436,0.08352318658093778,0.9112958735722893,0.2666765351464203,-0.535144960709459,1.0,10.198029371799738,1.4150676513372544,2.154816243197238,-0.17387959836503442,0.010895155186310929,0.0010988347382826086,1.0,1.004375881348804,0.06681139348356786,-0.16658492694974034,-0.069417194531445,-0.04242351026093777,-0.030050853356260857,-0.023039478842782672,-0.018559894052321387,-0.015466795102718206,-0.013211378848336815,-0.011498912689593221,-0.010157466867594165,-0.009080235254528097,-0.00819749645610392,-0.007461875240379709,-0.006840095870222106,-0.0024386386860134196
2016-06-22 ,1.4666627645492554,1.4770176410675049,1.464707851409912,1.4670286178588867,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.00016139496598011044,-0.08373426515377508,0.08373426490195307,1.3450370297624283,0.055498510165007266,0.41391133260844504,-0.2486922704819221,-0.9999996879438248,1.0,10.338148409549161,1.4215191865196235,2.165953422088577,-0.17905439009995644,-0.002587395867461012,-0.00674127552688597,0.0,1.0013405017050645,0.3352641853398427,-0.18284748725230907,-0.07470714182891287,-0.04525142349820238,-0.03187004035334269,-0.024330560923226476,-0.019534003781313532,-0.01623318274007013,-0.01383301031329519,-0.012014972369937801,-0.010593784382219116,-0.00945461790612815,-0.00852267032002862,-0.007747207306742028,-0.00709265268559899,-0.0013104901654170187
2016-06-23 ,1.479202389717102,1.494701266288757,1.4732965230941772,1.4789398908615112,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.004043245189948842,0.30054225277871083,0.10487695515246603,1.1999187886140992,1.2578422269570013,-0.01939059312087805,-0.21665096286466154,0.9999997621675755,1.0,10.374795874363206,1.4231969274001626,2.1688487226893973,-0.1722255501681832,0.0034144199658866226,0.0030009079166738173,1.0,-0.9999285314601164,-0.0015176898218697277,-0.17933022300670676,-0.07358544706153579,-0.04465826649715939,-0.031491555650362414,-0.02406376698076841,-0.019333912367466573,-0.016076617055478505,-0.013706662008324644,-0.011910586367996306,-0.010505934920245335,-0.009379574322755617,-0.008457773032942003,-0.007690503236243572,-0.007042671600769791,-0.002315805081243713
2016-06-24 ,1.4560067653656006,1.4629079103469849,1.323924541473389,1.4557948112487793,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.007886600310443364,-0.7853981921721929,0.7853981911721928,-1.1186661756044087,1.1186661739861414,0.37159686997721647,0.19549373154904726,-0.9999999161766248,1.0,10.346744297914785,1.4688967993683737,2.1666331814014095,-0.20329102439577187,-0.01553273711379434,-0.009473578539840481,0.0,1.0017781151995855,-1.0006345165825905,-0.20177440441943842,-0.08053074707030966,-0.048270816871018384,-0.03376815882201641,-0.025651817030682457,-0.020513867508294984,-0.01699200452156349,-0.014439435007339192,-0.012511330184439387,-0.011007750546349428,-0.009805129377546079,-0.00882316658438308,-0.008007516140764583,-0.00732014271641127,0.001843127283561539
2016-06-27 ,1.3444656133651731,1.347563624382019,1.313145875930786,1.3450984954833984,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.0395217895302592,0.7542904861877677,1.366282583184779,0.19739556094501462,-0.19739556132963,-0.3129440681487249,-0.34227046906297065,-0.6672909301248711,1.0,9.216928549677895,1.4589283296752957,2.073640659454868,-0.2570367490627386,-0.026872862333483363,-0.005670062609844512,-1.0,-0.9964638909341988,1.0008533233298509,-0.30445581336529726,-0.10588123553668627,-0.0598421044626427,-0.04032675920006579,-0.029805864105524126,-0.023325791988052957,-0.01897901127945791,-0.015884351080031105,-0.013582080623599781,-0.011810358220894691,-0.010409804544606263,-0.009278210373422252,-0.008347209184250186,-0.007569454502409374,0.02468271515699755
2016-06-28 ,1.3227163553237915,1.3419575691223145,1.3221917152404783,1.323504090309143,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.008092027373885686,0.7853981672322967,-0.7853981682322967,1.4776191572372803,-1.4776191592199666,-0.7053076176448243,-0.1961817747480497,0.6600974998402194,1.0,9.816946756991927,1.4433844157294793,2.123970048655199,-0.2798559900823875,-0.011409620509824442,0.007731620911829461,-2.0,-0.981391731115538,-0.9991210030668922,-0.2562169873150287,-0.09528492136311956,-0.05538540907934374,-0.03799138614562784,-0.028446301216071335,-0.02249051341375317,-0.01845437555606842,-0.015556538048090372,-0.013385161674776627,-0.01170369492739538,-0.010367114892654761,-0.0092818360728548,-0.008384912984532216,-0.007632536546794522,0.0118513054572788
2016-06-29 ,1.335577130317688,1.3529237508773804,1.329186201095581,1.3350956439971924,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0043600221343863595,0.6788686642572195,-0.678868665834318,1.3815286249684828,0.4636476528200297,-0.1784846579384154,0.26341147985320446,0.9999999196919416,1.0,9.186033062300341,1.457296358859647,2.0709871574992333,-0.2633012129131206,0.00827738858463345,0.009843504547228946,-1.0,-0.332123530561132,0.007536079909330418,-0.23438139358283414,-0.08972337796250136,-0.0528057551870641,-0.036510144767813564,-0.027496656092132615,-0.021839762647820185,-0.017988534554572385,-0.015212945510574132,-0.013126436968369442,-0.01150613401259013,-0.01021495603647996,-0.009164193397505167,-0.00829403110388401,-0.007562745555853172,0.003615121105660118
2016-06-30 ,1.3456052541732788,1.3494912385940552,1.324257731437683,1.3465837240219116,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.00428391259660741,0.7766789622553478,1.2753233287171095,0.7853981663670124,1.3790392327023093,0.09585617682051843,0.13717041737946692,-0.00880496340411815,1.0,9.336110095401445,1.4651901204253863,2.0838181479477607,-0.26052262371744195,0.001389294597839319,-0.003444046993397065,0.0,0.3339721424010987,0.324634100277203,-0.2255742711308578,-0.08734525966732003,-0.05166255868281628,-0.03583348300720435,-0.02705016404347746,-0.02152483319655162,-0.01775622151711204,-0.015036025486627958,-0.01298849593368584,-0.011396659289984526,-0.010126890889743662,-0.009092619479658719,-0.00823541328800849,-0.007514476813871892,0.0009370838186990662
